time,000001.OF,000011.OF,000021.OF,000020.OF,000039.OF,000017.OF,000029.OF,000030.OF,000126.OF,000057.OF,000066.OF,000083.OF,000073.OF,000082.OF,000117.OF,000136.OF,000120.OF,000056.OF,000173.OF,000127.OF,000264.OF,000209.OF,000172.OF,000242.OF,000220.OF,000251.OF,000167.OF,000263.OF,000294.OF,000199.OF
20150105,5.78867537,15.78275887,2.87400405,1.243,1.4235,1.8918,1.284,1.407,1.155,1.401,1.182,1.399,0.992,1.451,1.018,1.254,1.1366,1.274,1.476,1.3589,0.9823,1.512,1.808,1.1439,1.372,2.247,1.212,1.613,1.253,
20150106,5.82247081,15.88560048,2.90280581,1.271,1.4078,1.8865,1.2699,1.416,1.159,1.404,1.188,1.437,1.008,1.457,1.033,1.249,1.1552,1.281,1.504,1.3444,1.0024,1.49,1.805,1.1616,1.41,2.242,1.218,1.655,1.253,
20150107,5.80798705,15.80675524,2.90074854,1.274,1.4045,1.9045,1.2764,1.416,1.159,1.401,1.186,1.453,1.005,1.455,1.033,1.253,1.1572,1.263,1.511,1.3522,0.9945,1.512,1.801,1.1581,1.402,2.249,1.218,1.653,1.259,
20150108,5.75005202,15.72276793,2.87811859,1.276,1.3802,1.8823,1.2472,1.412,1.157,1.375,1.179,1.462,1.0,1.439,1.028,1.238,1.1469,1.248,1.519,1.3202,0.9954,1.474,1.765,1.1593,1.407,2.198,1.2,1.659,1.232,
20150109,5.73074034,15.74333625,2.88017586,1.28,1.3834,1.8812,1.2483,1.413,1.154,1.375,1.177,1.451,1.005,1.437,1.028,1.238,1.1438,1.242,1.525,1.3241,0.9875,1.466,1.763,1.1545,1.387,2.217,1.212,1.659,1.237,
20150112,5.69211698,15.86503215,2.8904622,1.274,1.376,1.8738,1.2418,1.429,1.152,1.379,1.169,1.461,1.022,1.431,1.029,1.24,1.1438,1.229,1.545,1.3174,0.991,1.448,1.747,1.1616,1.381,2.217,1.213,1.712,1.224,
20150113,5.75005202,16.03300678,2.90486308,1.3,1.3855,1.8928,1.2451,1.434,1.156,1.391,1.175,1.478,1.048,1.442,1.046,1.255,1.1666,1.235,1.551,1.3165,1.0024,1.445,1.75,1.1805,1.41,2.228,1.218,1.729,1.225,
20150114,5.70177282,15.90788282,2.91103489,1.288,1.3794,1.8759,1.2429,1.43,1.155,1.39,1.173,1.464,1.038,1.439,1.048,1.25,1.1624,1.232,1.548,1.3139,0.9919,1.463,1.751,1.1675,1.427,2.227,1.219,1.707,1.231,
20150115,5.76453578,15.9764439,2.95012299,1.312,1.4085,1.9298,1.285,1.437,1.158,1.42,1.177,1.477,1.037,1.467,1.058,1.269,1.1707,1.259,1.565,1.3426,1.0024,1.51,1.799,1.1687,1.416,2.312,1.233,1.742,1.25,
20150116,5.84178249,16.16155879,2.98509655,1.337,1.4301,1.9689,1.2937,1.449,1.161,1.435,1.185,1.519,1.062,1.48,1.084,1.29,1.1924,1.269,1.608,1.3641,1.0085,1.512,1.81,1.1829,1.431,2.33,1.253,1.796,1.271,1.0
20150119,5.68246115,15.63706659,2.88223313,1.285,1.3749,1.8854,1.2105,1.429,1.147,1.35,1.16,1.51,1.046,1.41,1.055,1.248,1.1552,1.2,1.573,1.2924,0.9823,1.412,1.692,1.151,1.398,2.177,1.179,1.782,1.198,0.993
20150120,5.82247081,16.26782845,2.97892474,1.346,1.4109,1.9383,1.2332,1.443,1.158,1.375,1.173,1.567,1.098,1.438,1.092,1.296,1.1955,1.233,1.631,1.3215,1.0155,1.409,1.712,1.1911,1.437,2.205,1.202,1.871,1.224,0.998
20150121,5.94316879,16.56949717,3.0468146,1.382,1.4298,1.9784,1.2591,1.458,1.168,1.428,1.189,1.615,1.107,1.484,1.113,1.33,1.2214,1.267,1.673,1.3443,1.0356,1.46,1.762,1.2124,1.442,2.313,1.235,1.89,1.269,1.004
20150122,5.96248047,16.65691254,3.06944456,1.391,1.4392,1.989,1.2677,1.46,1.173,1.433,1.19,1.626,1.117,1.493,1.119,1.342,1.2245,1.277,1.681,1.3476,1.0435,1.48,1.769,1.2265,1.464,2.324,1.247,1.897,1.266,1.006
20150123,5.91420128,16.53521664,3.04475734,1.376,1.4133,1.9678,1.2677,1.455,1.17,1.436,1.191,1.593,1.106,1.489,1.101,1.328,1.2069,1.269,1.651,1.3273,1.0408,1.491,1.767,1.2077,1.44,2.341,1.243,1.836,1.264,1.004
20150126,6.02524342,16.75632609,3.10030358,1.401,1.4384,2.0206,1.2775,1.465,1.177,1.439,1.194,1.617,1.132,1.506,1.132,1.359,1.2255,1.284,1.68,1.3579,1.0487,1.502,1.775,1.2324,1.475,2.359,1.259,1.864,1.272,1.011
20150127,6.06386678,16.73061569,3.09618905,1.41,1.4442,2.0143,1.2656,1.461,1.18,1.427,1.197,1.631,1.144,1.498,1.143,1.367,1.2307,1.282,1.682,1.3495,1.0435,1.495,1.7675,1.2336,1.494,2.325,1.258,1.858,1.268,1.01
20150128,6.00593175,16.51636234,3.06327275,1.387,1.4194,1.9879,1.2483,1.455,1.177,1.404,1.188,1.612,1.125,1.484,1.137,1.353,1.2172,1.271,1.66,1.3344,1.0382,1.487,1.7526,1.2277,1.472,2.297,1.239,1.824,1.247,1.01
20150129,5.99627591,16.34667369,3.0406428,1.381,1.4043,1.9847,1.2407,1.452,1.178,1.394,1.179,1.607,1.115,1.472,1.132,1.347,1.2079,1.267,1.651,1.337,1.0382,1.487,1.7339,1.2171,1.451,2.284,1.231,1.82,1.237,1.007
20150130,5.93834087,16.13756242,3.01184104,1.378,1.3826,1.934,1.2396,1.446,1.178,1.381,1.175,1.568,1.092,1.454,1.115,1.332,1.179,1.259,1.613,1.3076,1.0277,1.48,1.7189,1.21,1.442,2.257,1.223,1.77,1.223,1.007
20150202,5.90454544,16.16155879,3.01184104,1.361,1.392,1.9573,1.2332,1.449,1.178,1.361,1.169,1.58,1.096,1.432,1.127,1.339,1.1759,1.246,1.637,1.3198,1.0242,1.469,1.6953,1.21,1.444,2.219,1.227,1.766,1.214,1.011
20150203,5.99627591,16.56949717,3.08178817,1.384,1.4351,2.0228,1.2515,1.47,1.187,1.39,1.174,1.645,1.127,1.46,1.16,1.361,1.1976,1.267,1.698,1.3604,1.0338,1.502,1.7277,1.2277,1.484,2.279,1.26,1.834,1.236,1.014
20150204,5.97213631,16.60549174,3.07150183,1.378,1.4378,2.0513,1.2537,1.473,1.187,1.378,1.175,1.663,1.124,1.45,1.166,1.357,1.2079,1.26,1.717,1.3718,1.0251,1.503,1.7152,1.2218,1.481,2.258,1.265,1.85,1.234,1.017
20150205,5.94316879,16.58492341,3.06533002,1.382,1.458,2.0566,1.2537,1.476,1.186,1.373,1.172,1.703,1.114,1.443,1.174,1.362,1.2121,1.257,1.739,1.3612,1.0251,1.498,1.7003,1.2206,1.492,2.253,1.278,1.843,1.239,1.017
20150206,5.86592208,16.35010174,2.99744016,1.352,1.424,1.9953,1.2267,1.461,1.177,1.352,1.163,1.656,1.094,1.418,1.144,1.341,1.1924,1.231,1.692,1.3264,1.012,1.484,1.6754,1.2018,1.456,2.208,1.25,1.791,1.216,1.013
20150209,5.85626624,16.430661,2.97892474,1.349,1.4312,1.9816,1.2105,1.461,1.175,1.356,1.164,1.642,1.098,1.416,1.138,1.324,1.1862,1.226,1.681,1.3165,1.012,1.496,1.6866,1.1958,1.447,2.208,1.243,1.783,1.224,1.009
20150210,5.89971752,16.6929071,3.03447099,1.38,1.4481,2.028,1.2299,1.476,1.181,1.379,1.17,1.692,1.118,1.438,1.162,1.352,1.209,1.243,1.723,1.3355,1.0225,1.509,1.7152,1.2124,1.459,2.24,1.271,1.822,1.239,1.016
20150211,5.98662007,16.85745368,3.09207451,1.4,1.4821,2.0502,1.2505,1.479,1.185,1.392,1.173,1.741,1.139,1.451,1.179,1.385,1.2245,1.258,1.776,1.3615,1.0312,1.526,1.7252,1.2289,1.499,2.264,1.286,1.873,1.262,1.022
20150212,6.02524342,16.87630797,3.11058993,1.411,1.4996,2.0555,1.2515,1.485,1.186,1.395,1.177,1.762,1.147,1.456,1.179,1.395,1.2317,1.266,1.789,1.3723,1.0338,1.53,1.7326,1.2419,1.515,2.274,1.281,1.902,1.264,1.024
20150213,6.07835054,17.06142287,3.15584983,1.426,1.5127,2.0882,1.2732,1.488,1.191,1.407,1.183,1.81,1.154,1.474,1.199,1.404,1.2524,1.277,1.835,1.3946,1.0435,1.542,1.7501,1.2572,1.532,2.321,1.304,1.964,1.279,1.036
20150216,6.14594141,17.55506259,3.2299115,1.441,1.5613,2.1273,1.3013,1.499,1.198,1.383,1.193,1.881,1.182,1.488,1.235,1.444,1.1986,1.297,1.914,1.4384,1.0548,1.566,1.7576,1.2962,1.579,2.339,1.326,2.027,1.304,1.044
20150217,6.17973684,17.73160735,3.25459872,1.453,1.5621,2.1273,1.3153,1.5,1.201,1.398,1.193,1.905,1.201,1.501,1.251,1.447,1.2152,1.302,1.934,1.4486,1.0592,1.58,1.7713,1.2938,1.578,2.368,1.352,2.043,1.305,1.043
20150225,6.16525309,17.4727893,3.20316701,1.435,1.5079,2.0787,1.2948,1.492,1.196,1.391,1.196,1.874,1.175,1.484,1.228,1.414,1.2193,1.299,1.9,1.4092,1.0513,1.582,1.7563,1.2785,1.541,2.312,1.321,1.979,1.285,1.028
20150226,6.20387644,17.55849064,3.21756789,1.448,1.5141,2.083,1.3045,1.494,1.203,1.403,1.195,1.881,1.177,1.502,1.225,1.416,1.2327,1.306,1.907,1.4149,1.0557,1.585,1.7887,1.2856,1.544,2.352,1.344,1.987,1.298,1.035
20150227,6.25698356,17.69561279,3.25459872,1.457,1.5319,2.1157,1.3196,1.502,1.206,1.406,1.197,1.914,1.186,1.507,1.25,1.435,1.2493,1.315,1.925,1.4362,1.0609,1.601,1.7899,1.3009,1.567,2.354,1.353,2.017,1.315,1.041
20150302,6.36319778,17.89958198,3.31837404,1.487,1.573,2.158,1.3445,1.502,1.211,1.413,1.212,1.958,1.207,1.523,1.292,1.464,1.2772,1.334,1.968,1.471,1.0784,1.647,1.8086,1.3257,1.62,2.369,1.385,2.065,1.342,1.047
20150303,6.31491859,17.63047977,3.26077052,1.45,1.5499,2.121,1.3261,1.499,1.204,1.382,1.213,1.933,1.19,1.497,1.295,1.46,1.2586,1.317,1.956,1.4498,1.0679,1.625,1.7675,1.3092,1.616,2.314,1.359,2.033,1.327,1.033
20150304,6.38733738,17.71103903,3.31220224,1.471,1.5682,2.1347,1.3369,1.508,1.21,1.395,1.223,1.971,1.219,1.509,1.321,1.492,1.2762,1.335,1.993,1.4706,1.081,1.641,1.775,1.3399,1.704,2.343,1.373,2.062,1.342,1.043
20150305,6.37285362,17.52249608,3.3080877,1.458,1.569,2.1104,1.3402,1.502,1.21,1.386,1.221,1.976,1.222,1.501,1.317,1.496,1.2772,1.333,1.993,1.4564,1.0749,1.651,1.7675,1.3481,1.709,2.312,1.354,2.051,1.335,1.04
20150306,6.28595107,17.26024998,3.24225511,1.426,1.5277,2.0735,1.3229,1.495,1.206,1.367,1.208,1.931,1.191,1.488,1.284,1.464,1.2565,1.313,1.937,1.4222,1.0609,1.61,1.7563,1.3186,1.648,2.309,1.33,1.987,1.305,1.029
20150309,6.34871402,17.44193682,3.29162955,1.453,1.5753,2.1358,1.3326,1.503,1.214,1.386,1.224,1.961,1.207,1.514,1.327,1.489,1.27,1.326,1.962,1.4459,1.0688,1.643,1.78,1.3304,1.678,2.345,1.37,2.026,1.32,1.035
20150310,6.40664906,17.61505353,3.3471758,1.468,1.6148,2.1696,1.3412,1.505,1.218,1.407,1.225,2.016,1.23,1.518,1.361,1.508,1.2969,1.332,1.994,1.4659,1.0802,1.664,1.78,1.3682,1.727,2.328,1.414,2.056,1.324,1.04
20150311,6.40182114,17.50364178,3.3471758,1.458,1.6131,2.1664,1.3412,1.504,1.222,1.407,1.225,2.0,1.225,1.523,1.369,1.511,1.2896,1.33,1.982,1.4567,1.0793,1.664,1.7787,1.3422,1.678,2.332,1.416,2.059,1.323,1.041
20150312,6.40664906,17.45050695,3.32866038,1.467,1.5819,2.1432,1.3358,1.501,1.222,1.413,1.217,1.995,1.216,1.537,1.341,1.498,1.2938,1.33,1.97,1.4477,1.0775,1.648,1.8061,1.3328,1.657,2.388,1.4,2.011,1.326,1.041
20150313,6.47906785,17.74189151,3.3862639,1.488,1.6359,2.1801,1.3607,1.51,1.224,1.429,1.225,2.051,1.236,1.552,1.387,1.526,1.3196,1.341,2.017,1.4735,1.0863,1.684,1.8198,1.3493,1.7,2.408,1.425,2.063,1.353,1.046
20150316,6.65287295,18.34694297,3.49941367,1.541,1.7119,2.2646,1.4158,1.531,1.233,1.471,1.238,2.131,1.283,1.593,1.449,1.576,1.3599,1.378,2.101,1.528,1.1099,1.758,1.8622,1.3883,1.789,2.468,1.479,2.148,1.405,1.064
20150317,6.73494758,18.39493572,3.52615816,1.55,1.7305,2.3016,1.4288,1.534,1.233,1.483,1.243,2.125,1.289,1.61,1.456,1.58,1.3651,1.392,2.105,1.5329,1.1134,1.777,1.8871,1.4001,1.79,2.503,1.488,2.175,1.427,1.067
20150318,6.8411618,18.71717277,3.57347533,1.566,1.7775,2.3301,1.4536,1.544,1.241,1.504,1.253,2.149,1.307,1.637,1.476,1.604,1.3837,1.41,2.128,1.5668,1.1291,1.83,1.9295,1.4237,1.82,2.549,1.517,2.24,1.463,1.079
20150319,6.86047348,18.74631122,3.57347533,1.567,1.7738,2.3354,1.4601,1.548,1.246,1.501,1.254,2.162,1.318,1.634,1.481,1.617,1.3837,1.411,2.146,1.561,1.1308,1.837,1.9319,1.4249,1.793,2.523,1.512,2.266,1.465,1.083
20150320,6.97634355,19.00341524,3.63519339,1.583,1.8207,2.3882,1.4839,1.569,1.253,1.514,1.257,2.212,1.339,1.654,1.535,1.643,1.4075,1.433,2.18,1.6168,1.1343,1.863,1.9569,1.4355,1.811,2.571,1.542,2.302,1.495,1.089
20150323,7.17911616,19.54504771,3.76068676,1.634,1.9029,2.4822,1.5369,1.585,1.267,1.548,1.266,2.31,1.389,1.695,1.617,1.713,1.4623,1.467,2.259,1.7076,1.1501,1.924,1.9892,1.4697,1.862,2.605,1.616,2.416,1.551,1.107
20150324,7.25153495,19.69588207,3.82651935,1.648,1.9437,2.5181,1.5725,1.604,1.276,1.556,1.263,2.384,1.415,1.708,1.673,1.738,1.5058,1.466,2.314,1.7535,1.1457,1.956,1.9868,1.4709,1.893,2.577,1.674,2.455,1.587,1.106
20150325,7.29981415,19.93755985,3.84503477,1.685,1.9399,2.5034,1.5855,1.618,1.28,1.562,1.265,2.416,1.424,1.709,1.679,1.758,1.513,1.47,2.336,1.7597,1.1509,1.971,1.9868,1.4827,1.901,2.542,1.685,2.482,1.602,1.117
20150326,7.2370512,19.59132644,3.77508764,1.648,1.8539,2.4347,1.5369,1.608,1.267,1.535,1.26,2.333,1.368,1.696,1.607,1.71,1.4613,1.449,2.248,1.6805,1.144,1.926,1.988,1.4626,1.856,2.545,1.616,2.382,1.556,1.102
20150327,7.25636287,19.88099697,3.83886297,1.698,1.8924,2.4738,1.5682,1.614,1.27,1.548,1.269,2.345,1.387,1.711,1.618,1.731,1.4696,1.469,2.252,1.6796,1.1474,1.948,2.0042,1.4709,1.905,2.57,1.643,2.411,1.579,1.115
20150330,7.26601871,20.00783495,3.84709204,1.732,1.8705,2.4453,1.552,1.609,1.278,1.573,1.269,2.293,1.383,1.74,1.583,1.726,1.4654,1.488,2.223,1.644,1.1597,1.92,2.0565,1.4839,1.822,2.655,1.65,2.353,1.579,1.111
20150331,7.32395374,20.08668019,3.89646648,1.752,1.9128,2.497,1.5585,1.622,1.276,1.568,1.269,2.35,1.393,1.744,1.598,1.761,1.4747,1.488,2.268,1.669,1.1562,1.941,2.0453,1.4863,1.843,2.633,1.676,2.382,1.585,1.114
20150401,7.46879133,20.27693716,3.9931581,1.786,1.9847,2.5617,1.5855,1.636,1.287,1.613,1.287,2.411,1.424,1.776,1.645,1.81,1.5161,1.521,2.338,1.7125,1.185,1.983,2.0876,1.5193,1.91,2.678,1.729,2.452,1.614,1.128
20150402,7.57017763,20.64031085,4.04047528,1.809,2.0569,2.5737,1.6082,1.651,1.298,1.632,1.3,2.456,1.45,1.79,1.681,1.846,1.5482,1.535,2.362,1.7443,1.1973,2.016,2.0964,1.5406,1.944,2.679,1.763,2.53,1.66,1.141
20150403,7.66673602,21.07567366,4.10013606,1.826,2.099,2.5965,1.6395,1.659,1.304,1.661,1.307,2.47,1.474,1.815,1.698,1.87,1.5751,1.556,2.39,1.7668,1.2025,2.052,2.1263,1.5547,2.019,2.724,1.792,2.567,1.684,1.16
20150407,7.82605736,21.60530794,4.19477041,1.844,2.114,2.6756,1.6547,1.664,1.309,1.691,1.312,2.494,1.524,1.857,1.724,1.903,1.6019,1.583,2.443,1.8114,1.2296,2.08,2.1711,1.5795,2.075,2.792,1.833,2.615,1.703,1.189
20150408,7.78743401,21.37048627,4.15362504,1.817,2.063,2.6827,1.6547,1.66,1.306,1.662,1.297,2.431,1.501,1.859,1.707,1.887,1.5782,1.571,2.395,1.7939,1.2165,2.027,2.1923,1.5665,2.013,2.854,1.805,2.565,1.688,1.195
20150409,7.71501522,21.51617855,4.18036953,1.809,2.0726,2.7163,1.6503,1.657,1.296,1.645,1.285,2.41,1.496,1.849,1.701,1.882,1.5616,1.558,2.413,1.7864,1.2139,1.989,2.1798,1.5512,2.114,2.871,1.765,2.583,1.672,1.191
20150410,7.89364824,21.95325538,4.27911842,1.854,2.1267,2.7498,1.6741,1.674,1.306,1.692,1.301,2.454,1.532,1.885,1.747,1.947,1.6061,1.592,2.484,1.836,1.227,2.042,2.2247,1.5736,2.204,2.945,1.79,2.634,1.703,1.226
20150413,7.89847615,22.13837028,4.34906555,1.864,2.1768,2.7654,1.6903,1.675,1.313,1.732,1.316,2.478,1.542,1.912,1.793,1.989,1.6402,1.622,2.526,1.8714,1.2392,2.07,2.267,1.5854,2.305,2.972,1.809,2.642,1.73,1.253
20150414,7.86468072,21.93782914,4.3387792,1.838,2.1827,2.7199,1.6817,1.665,1.312,1.72,1.319,2.485,1.524,1.908,1.791,1.95,1.6392,1.626,2.532,1.8422,1.234,2.072,2.2757,1.5854,2.331,2.953,1.788,2.646,1.72,1.239
20150415,7.69570354,21.09967003,4.17214046,1.786,2.067,2.5701,1.6233,1.651,1.295,1.658,1.296,2.347,1.462,1.862,1.717,1.867,1.5606,1.582,2.409,1.7745,1.2016,1.992,2.2434,1.5347,2.273,2.93,1.701,2.482,1.662,1.202
20150416,7.79708985,21.38591251,4.24620212,1.81,2.1022,2.6085,1.6525,1.655,1.307,1.676,1.307,2.364,1.482,1.897,1.747,1.874,1.5751,1.601,2.469,1.7969,1.2104,2.005,2.2944,1.5524,2.339,2.99,1.712,2.492,1.698,1.208
20150417,7.79708985,21.32934962,4.20299948,1.818,2.0708,2.618,1.6601,1.651,1.312,1.684,1.301,2.359,1.478,1.909,1.729,1.864,1.5761,1.597,2.469,1.7919,1.2147,2.023,2.3256,1.5618,2.242,2.989,1.719,2.498,1.698,1.214
20150420,7.59431723,20.82199769,4.09602152,1.776,1.9821,2.5821,1.6287,1.644,1.309,1.631,1.276,2.267,1.43,1.863,1.662,1.804,1.5327,1.546,2.384,1.7477,1.192,2.005,2.2732,1.5228,2.223,2.886,1.667,2.414,1.655,1.184
20150421,7.82605736,21.44076137,4.26266027,1.829,2.0879,2.7127,1.6795,1.678,1.33,1.701,1.305,2.376,1.489,1.918,1.734,1.892,1.5916,1.598,2.461,1.8093,1.2261,2.07,2.3318,1.5748,2.305,2.948,1.747,2.546,1.726,1.229
20150422,8.04331374,21.88298028,4.36758096,1.869,2.1778,2.8062,1.7206,1.689,1.346,1.746,1.322,2.468,1.528,1.97,1.803,1.959,1.6392,1.633,2.561,1.8731,1.2541,2.121,2.409,1.6031,2.389,3.013,1.807,2.635,1.777,1.26
20150423,8.16401172,22.09551961,4.39021091,1.876,2.2368,2.8457,1.7498,1.694,1.351,1.758,1.323,2.525,1.553,1.979,1.828,1.988,1.6599,1.636,2.635,1.8828,1.2646,2.134,2.4065,1.6232,2.472,3.004,1.845,2.735,1.809,1.282
20150424,8.17849548,21.79042284,4.34906555,1.871,2.2204,2.8301,1.7271,1.683,1.347,1.738,1.326,2.571,1.556,1.963,1.812,1.984,1.6506,1.635,2.659,1.8912,1.2593,2.153,2.3679,1.6196,2.482,2.948,1.832,2.766,1.802,1.278
20150427,8.19297924,21.93782914,4.35729462,1.875,2.2086,2.8253,1.7282,1.695,1.35,1.751,1.33,2.627,1.56,1.991,1.831,1.99,1.6661,1.656,2.683,1.9002,1.2619,2.181,2.4152,1.6291,2.503,3.004,1.831,2.793,1.806,1.272
20150428,7.97572287,21.12880849,4.2215149,1.817,2.1329,2.751,1.6817,1.693,1.34,1.702,1.313,2.542,1.506,1.96,1.763,1.952,1.6247,1.618,2.602,1.8322,1.2313,2.091,2.3978,1.5831,2.453,2.995,1.771,2.752,1.742,1.222
20150429,8.13021629,21.69100928,4.34083647,1.864,2.2125,2.8349,1.699,1.721,1.343,1.731,1.328,2.65,1.543,1.984,1.813,2.046,1.6661,1.644,2.702,1.8996,1.2471,2.126,2.409,1.6031,2.536,3.024,1.829,2.876,1.786,1.251
20150430,8.21229092,22.2035033,4.41695541,1.879,2.2727,2.9068,1.7119,1.725,1.348,1.761,1.342,2.75,1.57,1.992,1.843,2.121,1.6971,1.655,2.783,1.9178,1.241,2.116,2.404,1.6055,2.59,3.042,1.869,2.942,1.804,1.27
20150504,8.29436555,22.08523545,4.42312721,1.901,2.2224,2.914,1.7238,1.723,1.36,1.771,1.341,2.7,1.574,2.002,1.839,2.113,1.6857,1.667,2.737,1.8955,1.2418,2.168,2.4339,1.6031,2.545,3.049,1.859,2.894,1.83,1.275
20150505,8.08676501,21.45104553,4.27911842,1.849,2.1583,2.8457,1.659,1.701,1.343,1.732,1.314,2.663,1.537,1.939,1.787,2.064,1.6402,1.615,2.665,1.8271,1.213,2.116,2.3343,1.5583,2.527,2.917,1.828,2.811,1.796,1.242
20150506,8.12056045,21.64987264,4.32026379,1.853,2.2386,2.8816,1.6568,1.705,1.338,1.738,1.319,2.746,1.572,1.929,1.84,2.106,1.665,1.602,2.736,1.8495,1.2104,2.106,2.3006,1.5642,2.558,2.918,1.88,2.867,1.838,1.245
20150507,8.04331374,21.3087813,4.3326074,1.821,2.2811,2.8948,1.6471,1.709,1.331,1.742,1.328,2.744,1.572,1.906,1.878,2.118,1.6681,1.589,2.723,1.8643,1.1955,2.047,2.267,1.5559,2.552,2.884,1.919,2.868,1.808,1.225
20150508,8.33781682,22.13151417,4.52599063,1.902,2.4303,3.0542,1.6817,1.732,1.339,1.826,1.373,2.927,1.662,1.961,1.983,2.252,1.7653,1.638,2.894,1.9546,1.2392,2.131,2.3081,1.6067,2.71,2.92,2.048,3.088,1.9,1.284
20150511,8.60818031,23.05708865,4.72966021,2.003,2.5821,3.2375,1.7303,1.768,1.355,1.908,1.415,3.119,1.76,2.029,2.113,2.362,1.8719,1.695,3.075,2.0514,1.2881,2.228,2.3704,1.6527,2.889,3.007,2.189,3.285,2.016,1.347
20150512,8.82543668,23.64328582,4.86338266,2.053,2.7133,3.3657,1.7714,1.79,1.367,1.971,1.452,3.277,1.829,2.065,2.213,2.434,1.9412,1.725,3.207,2.0985,1.3135,2.31,2.3991,1.6633,2.978,3.028,2.314,3.367,2.063,1.373
20150513,8.83509252,23.40332206,4.82635183,2.075,2.6869,3.3945,1.7833,1.79,1.366,1.987,1.473,3.338,1.821,2.063,2.201,2.453,1.9608,1.723,3.252,2.0976,1.3214,2.295,2.3866,1.6669,2.97,3.022,2.322,3.311,2.07,1.397
20150514,8.8544042,23.25077368,4.7564047,2.058,2.5967,3.404,1.7768,1.781,1.368,1.999,1.477,3.226,1.828,2.058,2.136,2.43,1.9215,1.712,3.167,2.0786,1.3109,2.296,2.3741,1.6621,2.904,3.001,2.252,3.241,2.052,1.402
20150515,8.81578084,23.3861818,4.7564047,2.088,2.5979,3.422,1.779,1.79,1.367,1.998,1.498,3.298,1.831,2.045,2.149,2.456,1.9246,1.724,3.234,2.0822,1.3074,2.312,2.3268,1.6444,2.919,2.939,2.306,3.297,2.047,1.371
20150518,9.04752097,23.84554098,4.86955447,2.129,2.7133,3.5574,1.7995,1.826,1.37,2.078,1.555,3.397,1.892,2.059,2.242,2.557,2.0063,1.749,3.318,2.1364,1.3257,2.42,2.3069,1.6799,3.082,2.909,2.413,3.462,2.107,1.394
20150519,9.18270272,23.99808937,4.97036062,2.181,2.7514,3.6125,1.8287,1.836,1.384,2.113,1.58,3.427,1.914,2.114,2.279,2.59,2.0332,1.789,3.307,2.1875,1.3528,2.459,2.4028,1.7212,3.111,3.015,2.454,3.541,2.157,1.439
20150520,9.39513117,24.30490017,5.0629377,2.206,2.8119,3.6688,1.8676,1.848,1.387,2.151,1.608,3.487,1.985,2.147,2.325,2.644,2.0694,1.816,3.347,2.2068,1.3659,2.524,2.4165,1.7483,3.213,3.037,2.515,3.636,2.248,1.471
20150521,9.62204338,24.73683492,5.21106103,2.286,2.9023,3.7383,1.9249,1.866,1.404,2.234,1.649,3.558,2.052,2.195,2.352,2.724,2.119,1.865,3.427,2.2797,1.4157,2.623,2.4688,1.8109,3.354,3.081,2.558,3.735,2.336,1.524
20150522,9.60273171,24.29118795,5.20077469,2.302,2.8713,3.6964,1.927,1.864,1.406,2.23,1.626,3.482,2.048,2.23,2.31,2.686,2.1035,1.891,3.381,2.303,1.435,2.625,2.5298,1.8286,3.35,3.149,2.546,3.699,2.317,1.524
20150525,9.69929009,24.70426841,5.22340465,2.357,2.8288,3.682,1.9638,1.876,1.423,2.244,1.613,3.412,2.074,2.277,2.267,2.682,2.1077,1.923,3.313,2.3347,1.4551,2.655,2.6108,1.8439,3.396,3.222,2.466,3.668,2.327,1.556
20150526,9.93585815,25.49272075,5.4414751,2.445,2.9495,3.827,2.0319,1.914,1.435,2.327,1.648,3.506,2.166,2.332,2.346,2.762,2.1914,1.994,3.387,2.4045,1.4961,2.785,2.6556,1.9065,3.474,3.293,2.574,3.866,2.414,1.605
20150527,9.96965358,25.62812886,5.42913149,2.452,2.9443,3.8258,2.0437,1.937,1.436,2.33,1.643,3.518,2.183,2.345,2.294,2.804,2.2131,2.017,3.374,2.3859,1.5014,2.839,2.6519,1.9254,3.463,3.267,2.568,3.925,2.438,1.643
20150528,9.54479667,24.82939237,5.12671303,2.33,2.7983,3.5934,1.9573,1.887,1.412,2.191,1.599,3.412,2.053,2.215,2.172,2.64,2.0942,1.936,3.259,2.2554,1.4437,2.652,2.4775,1.8203,3.298,3.039,2.431,3.704,2.327,1.546
20150529,9.63169922,25.3555986,5.2131183,2.391,2.8982,3.67,2.0005,1.906,1.42,2.205,1.604,3.528,2.106,2.232,2.235,2.705,2.1635,1.964,3.332,2.2771,1.4551,2.687,2.4925,1.8557,3.294,3.033,2.53,3.846,2.358,1.567
20150601,10.01310486,25.90065913,5.45381871,2.491,3.0688,3.8689,2.0859,1.937,1.443,2.308,1.649,3.671,2.207,2.334,2.355,2.83,2.2597,2.06,3.472,2.3622,1.5145,2.823,2.6233,1.9585,3.4,3.156,2.655,4.031,2.447,1.628
20150602,10.39933841,26.67711327,5.65954556,2.575,3.2348,4.0355,2.1713,1.959,1.456,2.402,1.684,3.79,2.289,2.389,2.483,2.953,2.3672,2.122,3.583,2.4401,1.5538,2.942,2.6669,2.0387,3.463,3.224,2.756,4.205,2.537,1.701
